Barycentric data loading time: 592.413316ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18908895 phase:modifiedaccounts accounts: 385 time: 3.241304274s
Fetching balances for 385 accounts
Fetched balances for 385 accounts
Block: 18908895 phase:balances accounts: 385 time: 24.23991ms
Block 18908895 account 0x970A00520cDFc1A0888E3e55aa7114E9640f0f80 time: 60.155797ms
Block 18908895 account 0x981F0Bd6909901CaEAFc49177C229AE091bbD492 time: 50.714629ms
Block 18908895 account 0x985E2a89c2e0C1AFB56f699cf320Da0782FE0e51 time: 49.635656ms
Block 18908895 account 0x9A98a275a167d2Ecd9457796eA6037AE2968552C time: 48.122414ms
Block 18908895 account 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 time: 44.044494ms
Block 18908895 account 0x9F85c6553a71bD4F315bD119C45fb3006A6683d5 time: 44.213313ms
Block 18908895 account 0x9BE89D2a4cd102D8Fecc6BF9dA793be995C22541 time: 45.421221ms
Block 18908895 account 0x9be3aB20f7cD0b2803cF28A9B017Fcdd10d0a4d4 time: 46.53563ms
Block 18908895 account 0x9882F581a85C0afa11779e4075cD0DEa6f401e93 time: 51.386333ms
Block 18908895 account 0x9F5329E370bC26330faB332e650A49d494d5b76e time: 45.52719ms
Block 18908895 account 0x9eDFc192fC4d29b8f2b18f484211161b6Fc8063E time: 47.469145ms
Block 18908895 account 0x9ef1A9f0F82f89ed9812eAFad218990094f5feF1 time: 47.27863ms
Block 18908895 account 0xa0246c9032bC3A600820415aE600c6388619A14D time: 47.168211ms
Block 18908895 account 0xa26e73C8E9507D50bF808B7A2CA9D5dE4fcC4A04 time: 42.635728ms
Block 18908895 account 0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54 time: 47.95855ms
Block 18908895 account 0x9cbF4F44af403D19820db9291db539bCDf6256fF time: 51.171974ms
Block 18908895 account 0xa3817830e85F86B7E1950cEF4e2b4EC1feCb0E1F time: 51.029191ms
Block 18908895 account 0xA3E872f14b15E74ba4ba340331DC69f57e4e3F0D time: 43.819119ms
Block 18908895 account 0xA68B04893551b09c3801A27D7eB9c5E8C5d6BE1a time: 43.417535ms
Block 18908895 account 0xa6C01EA54E3315617dE286d3A6cB571d56520420 time: 43.66517ms
Block 18908895 account 0xA91ac63D040dEB1b7A5E4d4134aD23eb0ba07e14 time: 42.812341ms
Block 18908895 account 0xA9232040BF0E0aEA2578a5B2243F2916DBfc0A69 time: 42.780492ms
Block 18908895 account 0xa6C0c097741D55ECd9a3A7DeF3A8253fD022ceB9 time: 43.994703ms
Block 18908895 account 0xa740602087547bf65F771f94CfCaf65d337C78F3 time: 43.93598ms
Block 18908895 account 0xa9a553aEb0a33BA4a73D11c8d36A9CFb1ca8EA96 time: 42.611327ms
Block 18908895 account 0xA891F71d9238e152237B6f0aea3c19609537d310 time: 44.36728ms
Block 18908895 account 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84 time: 42.643471ms
Block 18908895 account 0xAE12C5930881c53715B369ceC7606B70d8EB229f time: 44.848468ms
Block 18908895 account 0xA9bF156B40980889BB0a10fd041aEdB71175b9dF time: 45.259229ms
Block 18908895 account 0xAe2D4617c862309A3d75A0fFB358c7a5009c673F time: 49.313545ms
Block 18908895 account 0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43 time: 50.019014ms
Block 18908895 account 0xAF3afD92320a563E1C18C8b6Efb5043c39c16455 time: 52.44983ms
Block 18908895 account 0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6 time: 49.335902ms
Block 18908895 account 0xaFF2411731076f6ff67fE44Ab77495B665939ba4 time: 42.033249ms
Block 18908895 account 0xb039Ecb8cd9342EDA33CBEDb79a7fA499A5DaE13 time: 41.731631ms
Block 18908895 account 0xAfBB428D459C0BbE61648cA6C23F5088c8E5bC07 time: 43.917994ms
Block 18908895 account 0xb3999F658C0391d94A37f7FF328F3feC942BcADC time: 41.267083ms
Block 18908895 account 0xB0D502E938ed5f4df2E681fE6E419ff29631d62b time: 41.876483ms
Block 18908895 account 0xb23360CCDd9Ed1b15D45E5d3824Bb409C8D7c460 time: 42.506942ms
Block 18908895 account 0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74 time: 44.359654ms
Block 18908895 account 0xB20338CBfDef10c6D135d6E5bbB39F650a9F4CEa time: 44.365548ms
Block 18908895 account 0xb447Db84000A55B243762cF885D9b9d6Fc4120E5 time: 42.485252ms
Block 18908895 account 0xB4670f14Dcc57b3CF698FfD34d034f69c0C9Fa41 time: 40.73433ms
Block 18908895 account 0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1 time: 41.416964ms
Block 18908895 account 0xb584D4bE1A5470CA1a8778E9B86c81e165204599 time: 37.574429ms
Block 18908895 account 0xB237E7C2F10bf22A4EEA302bfA2C007961a97607 time: 46.486604ms
Block 18908895 account 0xB51D9F1A5d6d91F08572702673EC515d47Fc1b39 time: 46.272414ms
Block 18908895 account 0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511 time: 56.464926ms
Block 18908895 account 0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206 time: 56.061174ms
Block 18908895 account 0xb739D0895772DBB71A89A3754A160269068f0D45 time: 51.086409ms
Block 18908895 account 0xb7E7688AFA5a3DAeb70C64b135E54af7a1757a75 time: 50.974304ms
Block 18908895 account 0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55 time: 51.075656ms
Block 18908895 account 0xb89Bd5c942914289FDf4356E1BE25F9A8824343F time: 51.112529ms
Block 18908895 account 0xbc2475223f17bB15F977F306d21bA76DA8A0Ba85 time: 48.669241ms
