Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18911021 phase:modifiedaccounts accounts: 215 time: 4.577135738s
Block: 18911021 phase:balances accounts: 215 time: 130.337056ms
Block: 18911022 phase:modifiedaccounts accounts: 224 time: 5.498896901s
Block: 18911022 phase:balances accounts: 224 time: 92.688355ms
Block: 18911023 phase:modifiedaccounts accounts: 354 time: 5.387882812s
Block: 18911023 phase:balances accounts: 354 time: 167.174951ms
Block: 18911024 phase:modifiedaccounts accounts: 278 time: 4.35347065s
Block: 18911024 phase:balances accounts: 278 time: 195.879316ms
Block: 18911025 phase:modifiedaccounts accounts: 232 time: 5.427106161s
Block: 18911025 phase:balances accounts: 232 time: 99.287405ms
Block: 18911026 phase:modifiedaccounts accounts: 330 time: 4.355472748s
Block: 18911026 phase:balances accounts: 330 time: 197.581176ms
Block: 18911027 phase:modifiedaccounts accounts: 223 time: 5.074320705s
Block: 18911027 phase:balances accounts: 223 time: 88.034325ms
Block: 18911028 phase:modifiedaccounts accounts: 388 time: 4.486472785s
Block: 18911028 phase:balances accounts: 388 time: 149.581861ms
Block: 18911029 phase:modifiedaccounts accounts: 268 time: 3.989616503s
Block: 18911029 phase:balances accounts: 268 time: 133.764737ms
Block: 18911030 phase:modifiedaccounts accounts: 278 time: 4.152339899s
Block: 18911030 phase:balances accounts: 278 time: 145.048916ms
Block: 18911031 phase:modifiedaccounts accounts: 353 time: 4.314075802s
Block: 18911031 phase:balances accounts: 353 time: 203.045371ms
Block: 18911032 phase:modifiedaccounts accounts: 330 time: 4.252557074s
Block: 18911032 phase:balances accounts: 330 time: 174.920539ms
Block: 18911033 phase:modifiedaccounts accounts: 389 time: 5.366473706s
Block: 18911033 phase:balances accounts: 389 time: 208.796595ms
Block: 18911034 phase:modifiedaccounts accounts: 208 time: 3.660863964s
Block: 18911034 phase:balances accounts: 208 time: 110.044396ms
Block: 18911035 phase:modifiedaccounts accounts: 319 time: 3.696139392s
Block: 18911035 phase:balances accounts: 319 time: 204.832446ms
Block: 18911036 phase:modifiedaccounts accounts: 329 time: 6.215209165s
Block: 18911036 phase:balances accounts: 329 time: 153.8057ms
Block: 18911037 phase:modifiedaccounts accounts: 293 time: 4.181080735s
Block: 18911037 phase:balances accounts: 293 time: 206.728129ms
Block: 18911038 phase:modifiedaccounts accounts: 309 time: 5.413365884s
Block: 18911038 phase:balances accounts: 309 time: 116.132432ms
Block: 18911039 phase:modifiedaccounts accounts: 319 time: 4.679556024s
Block: 18911039 phase:balances accounts: 319 time: 225.747597ms
Block: 18911040 phase:modifiedaccounts accounts: 218 time: 4.523998612s
Block: 18911040 phase:balances accounts: 218 time: 249.846394ms
Block: 18911041 phase:modifiedaccounts accounts: 306 time: 4.87838439s
Block: 18911041 phase:balances accounts: 306 time: 145.217879ms
Block: 18911042 phase:modifiedaccounts accounts: 416 time: 4.6114043s
Block: 18911042 phase:balances accounts: 416 time: 172.14795ms
Block: 18911043 phase:modifiedaccounts accounts: 321 time: 4.98024557s
Block: 18911043 phase:balances accounts: 321 time: 97.716751ms
Block: 18911044 phase:modifiedaccounts accounts: 312 time: 4.287070704s
Block: 18911044 phase:balances accounts: 312 time: 162.189851ms
Block: 18911045 phase:modifiedaccounts accounts: 303 time: 4.862574523s
Block: 18911045 phase:balances accounts: 303 time: 125.931527ms
Block: 18911046 phase:modifiedaccounts accounts: 228 time: 4.235778046s
Block: 18911046 phase:balances accounts: 228 time: 105.855923ms
Block: 18911047 phase:modifiedaccounts accounts: 287 time: 5.745267139s
Block: 18911047 phase:balances accounts: 287 time: 121.888771ms
Block: 18911048 phase:modifiedaccounts accounts: 333 time: 4.033299725s
Block: 18911048 phase:balances accounts: 333 time: 144.467674ms
Block: 18911049 phase:modifiedaccounts accounts: 301 time: 5.533286303s
Block: 18911049 phase:balances accounts: 301 time: 97.858785ms
Block: 18911050 phase:modifiedaccounts accounts: 269 time: 3.994250578s
Block: 18911050 phase:balances accounts: 269 time: 148.666734ms
Block: 18911051 phase:modifiedaccounts accounts: 239 time: 5.022715123s
Block: 18911051 phase:balances accounts: 239 time: 91.16415ms
Block: 18911052 phase:modifiedaccounts accounts: 282 time: 5.999027782s
